Day,StartTime,EndTime,Room,Midpoint
Wednesday ,23/05/2018 09:00,10:00:00,1,1
Wednesday ,23/05/2018 10:00,11:00:00,1,1
Wednesday,23/05/2018 11:00,12:00:00,1,1
Wednesday,23/05/2018 12:00,13:00:00,1,1
Wednesday,23/05/2018 13:00,14:00:00,1,1
Wednesday,23/05/2018 14:00,15:00:00,1,1
Wednesday,23/05/2018 15:00,16:00:00,1,1
Wednesday,23/05/2018 16:00,17:00:00,1,1
Wednesday,23/05/2018 17:00,18:00:00,1,1
Wednesday,23/05/2018 18:00,19:00:00,1,1
Wednesday,23/05/2018 19:00,20:00:00,1,1
Wednesday,23/05/2018 20:00,21:00:00,1,1
Wednesday,23/05/2018 21:00,22:00:00,1,1
Wednesday,23/05/2018 09:00,10:00:00,2,1
Wednesday,23/05/2018 10:00,11:00:00,2,1
Wednesday,23/05/2018 11:00,12:00:00,2,1
Wednesday,23/05/2018 12:00,13:00:00,2,1
Wednesday,23/05/2018 13:00,14:00:00,2,1
Wednesday,23/05/2018 14:00,15:00:00,2,1
Wednesday,23/05/2018 15:00,16:00:00,2,1
Wednesday,23/05/2018 16:00,17:00:00,2,1
Wednesday,23/05/2018 17:00,18:00:00,2,1
Wednesday,23/05/2018 18:00,19:00:00,2,1
Wednesday,23/05/2018 19:00,20:00:00,2,1
Wednesday,23/05/2018 20:00,21:00:00,2,1
Wednesday,23/05/2018 21:00,22:00:00,2,1
Wednesday,23/05/2018 09:00,10:00:00,3,1
Wednesday,23/05/2018 10:00,11:00:00,3,1
Wednesday,23/05/2018 11:00,12:00:00,3,1
Wednesday,23/05/2018 12:00,13:00:00,3,1
Wednesday,23/05/2018 13:00,14:00:00,3,1
Wednesday,23/05/2018 14:00,15:00:00,3,1
Wednesday,23/05/2018 15:00,16:00:00,3,1
Wednesday,23/05/2018 16:00,17:00:00,3,1
Wednesday,23/05/2018 17:00,18:00:00,3,1
Wednesday,23/05/2018 18:00,19:00:00,3,1
Wednesday,23/05/2018 19:00,20:00:00,3,1
Wednesday,23/05/2018 20:00,21:00:00,3,1
Wednesday,23/05/2018 21:00,22:00:00,3,1
Wednesday,23/05/2018 09:00,10:00:00,4,1
Wednesday,23/05/2018 10:00,11:00:00,4,1
Wednesday,23/05/2018 11:00,12:00:00,4,1
Wednesday,23/05/2018 12:00,13:00:00,4,1
Wednesday,23/05/2018 13:00,14:00:00,4,1
Wednesday,23/05/2018 14:00,15:00:00,4,1
Wednesday,23/05/2018 15:00,16:00:00,4,1
Wednesday,23/05/2018 16:00,17:00:00,4,1
Wednesday,23/05/2018 17:00,18:00:00,4,1
Wednesday,23/05/2018 18:00,19:00:00,4,1
Wednesday,23/05/2018 19:00,20:00:00,4,1
Wednesday,23/05/2018 20:00,21:00:00,4,1
Wednesday,23/05/2018 21:00,22:00:00,4,1
Wednesday,23/05/2018 09:00,10:00:00,5,1
Wednesday,23/05/2018 10:00,11:00:00,5,1
Wednesday,23/05/2018 11:00,12:00:00,5,1
Wednesday,23/05/2018 12:00,13:00:00,5,1
Wednesday,23/05/2018 13:00,14:00:00,5,1
Wednesday,23/05/2018 14:00,15:00:00,5,1
Wednesday,23/05/2018 15:00,16:00:00,5,1
Wednesday,23/05/2018 16:00,17:00:00,5,1
Wednesday,23/05/2018 17:00,18:00:00,5,1
Wednesday,23/05/2018 18:00,19:00:00,5,1
Wednesday,23/05/2018 19:00,20:00:00,5,1
Wednesday,23/05/2018 20:00,21:00:00,5,1
Wednesday,23/05/2018 21:00,22:00:00,5,1
Wednesday,23/05/2018 09:00,10:00:00,6,1
Wednesday,23/05/2018 10:00,11:00:00,6,1
Wednesday,23/05/2018 11:00,12:00:00,6,1
Wednesday,23/05/2018 12:00,13:00:00,6,1
Wednesday,23/05/2018 13:00,14:00:00,6,1
Wednesday,23/05/2018 14:00,15:00:00,6,1
Wednesday,23/05/2018 15:00,16:00:00,6,1
Wednesday,23/05/2018 16:00,17:00:00,6,1
Wednesday,23/05/2018 17:00,18:00:00,6,1
Wednesday,23/05/2018 18:00,19:00:00,6,1
Wednesday,23/05/2018 19:00,20:00:00,6,1
Wednesday,23/05/2018 20:00,21:00:00,6,1
Wednesday,23/05/2018 21:00,22:00:00,6,1
Wednesday,23/05/2018 09:00,10:00:00,7,1
Wednesday,23/05/2018 10:00,11:00:00,7,1
Wednesday,23/05/2018 11:00,12:00:00,7,1
Wednesday,23/05/2018 12:00,13:00:00,7,1
Wednesday,23/05/2018 13:00,14:00:00,7,1
Wednesday,23/05/2018 14:00,15:00:00,7,1
Wednesday,23/05/2018 15:00,16:00:00,7,1
Wednesday,23/05/2018 16:00,17:00:00,7,1
Wednesday,23/05/2018 17:00,18:00:00,7,1
Wednesday,23/05/2018 18:00,19:00:00,7,1
Wednesday,23/05/2018 19:00,20:00:00,7,1
Wednesday,23/05/2018 20:00,21:00:00,7,1
Wednesday,23/05/2018 21:00,22:00:00,7,1
Thursday,24/05/2018 09:00,10:00:00,8,1
Thursday,24/05/2018 10:00,11:00:00,8,1
Thursday,24/05/2018 11:00,12:00:00,8,1
Thursday,24/05/2018 12:00,13:00:00,8,1
Thursday,24/05/2018 13:00,14:00:00,8,1
Thursday,24/05/2018 14:00,15:00:00,8,1
Thursday,24/05/2018 15:00,16:00:00,8,1
Thursday,24/05/2018 16:00,17:00:00,8,1
Thursday,24/05/2018 17:00,18:00:00,8,1
Thursday,24/05/2018 18:00,19:00:00,8,1
Thursday,24/05/2018 19:00,20:00:00,8,1
Thursday,24/05/2018 20:00,21:00:00,8,1
Thursday,24/05/2018 21:00,22:00:00,8,1
Thursday,24/05/2018 09:00,10:00:00,8,1
Thursday,24/05/2018 10:00,11:00:00,8,1
Thursday,24/05/2018 11:00,12:00:00,8,1
Thursday,24/05/2018 12:00,13:00:00,8,1
Thursday,24/05/2018 13:00,14:00:00,8,1
Thursday,24/05/2018 14:00,15:00:00,8,1
Thursday,24/05/2018 15:00,16:00:00,8,1
Thursday,24/05/2018 16:00,17:00:00,8,1
Thursday,24/05/2018 17:00,18:00:00,8,1
Thursday,24/05/2018 18:00,19:00:00,8,1
Thursday,24/05/2018 19:00,20:00:00,8,1
Thursday,24/05/2018 20:00,21:00:00,8,1
Thursday,24/05/2018 21:00,22:00:00,8,1
Thursday,24/05/2018 09:00,10:00:00,9,1
Thursday,24/05/2018 10:00,11:00:00,9,1
Thursday,24/05/2018 11:00,12:00:00,9,1
Thursday,24/05/2018 12:00,13:00:00,9,1
Thursday,24/05/2018 13:00,14:00:00,9,1
Thursday,24/05/2018 14:00,15:00:00,10,1
Thursday,24/05/2018 15:00,16:00:00,10,1
Thursday,24/05/2018 16:00,17:00:00,10,1
Thursday,24/05/2018 17:00,18:00:00,10,1
Thursday,24/05/2018 18:00,19:00:00,10,1
Thursday,24/05/2018 19:00,20:00:00,10,1
Thursday,24/05/2018 20:00,21:00:00,10,1
Thursday,24/05/2018 21:00,22:00:00,10,1
Friday,25/05/2018 09:00,10:00:00,1,1
Friday,25/05/2018 10:00,11:00:00,1,1
Friday,25/05/2018 11:00,12:00:00,1,1
Friday,25/05/2018 12:00,13:00:00,1,1
Friday,25/05/2018 13:00,14:00:00,1,1
Friday,25/05/2018 14:00,15:00:00,1,1
Friday,25/05/2018 15:00,16:00:00,1,1
Friday,25/05/2018 16:00,17:00:00,2,1
Friday,25/05/2018 17:00,18:00:00,2,1
Friday,25/05/2018 18:00,19:00:00,2,1
Friday,25/05/2018 19:00,20:00:00,2,1
Friday,25/05/2018 20:00,21:00:00,3,1
Friday,25/05/2018 21:00,22:00:00,3,1
Friday,25/05/2018 09:00,10:00:00,3,1
Friday,25/05/2018 10:00,11:00:00,3,1
Friday,25/05/2018 11:00,12:00:00,3,1
Friday,25/05/2018 12:00,13:00:00,4,1
Friday,25/05/2018 13:00,14:00:00,4,1
Friday,25/05/2018 14:00,15:00:00,4,1
Friday,25/05/2018 15:00,16:00:00,4,1
Friday,25/05/2018 16:00,17:00:00,5,1
Friday,25/05/2018 17:00,18:00:00,5,1
Friday,25/05/2018 18:00,19:00:00,5,1
Friday,25/05/2018 19:00,20:00:00,5,1
Friday,25/05/2018 20:00,21:00:00,6,1
Friday,25/05/2018 21:00,22:00:00,6,1
Friday,25/05/2018 09:00,10:00:00,6,1
Friday,25/05/2018 10:00,11:00:00,6,1
Friday,25/05/2018 11:00,12:00:00,7,1
Friday,25/05/2018 12:00,13:00:00,7,1
Friday,25/05/2018 13:00,14:00:00,7,1
Friday,25/05/2018 14:00,15:00:00,7,1
Friday,25/05/2018 15:00,16:00:00,8,1
Friday,25/05/2018 16:00,17:00:00,8,1
Friday,25/05/2018 17:00,18:00:00,8,1
Friday,25/05/2018 18:00,19:00:00,8,1
Friday,25/05/2018 19:00,20:00:00,9,1
Friday,25/05/2018 20:00,21:00:00,9,1
Friday,25/05/2018 21:00,22:00:00,9,1
Friday,25/05/2018 09:00,10:00:00,9,1
Friday,25/05/2018 10:00,11:00:00,10,1
Friday,25/05/2018 11:00,12:00:00,10,1
Friday,25/05/2018 12:00,13:00:00,10,1
Friday,25/05/2018 13:00,14:00:00,10,1
Friday,25/05/2018 14:00,15:00:00,10,1
